pdbid,ref,pred,ligand_id,pairing_method,ligand_heavy_atoms,ligand_rmsd,protein_pairs,protein_rmsd,status,error
1B56,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1B56.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1B56.pdbqt,,,,,,,error,Unexpected: name 'split_models' is not defined
1DSY,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1DSY.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1DSY.pdbqt,,,,,,,error,Unexpected: name 'split_models' is not defined
1FDQ,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1FDQ.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1FDQ.pdbqt,,,,,,,error,Unexpected: name 'split_models' is not defined
1FE3,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1FE3.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1FE3.pdbqt,,,,,,,error,Unexpected: name 'split_models' is not defined
1FK1,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1FK1.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1FK1.pdbqt,,,,,,,error,Unexpected: name 'split_models' is not defined
1FK4,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1FK4.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1FK4.pdbqt,,,,,,,error,Unexpected: name 'split_models' is not defined
1G74,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1G74.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1G74.pdbqt,,,,,,,error,Unexpected: name 'split_models' is not defined
1H6H,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1H6H.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1H6H.pdbqt,,,,,,,error,Unexpected: name 'split_models' is not defined
1HMR,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1HMR.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1HMR.pdbqt,,,,,,,error,Unexpected: name 'split_models' is not defined
1HMS,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1HMS.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1HMS.pdbqt,,,,,,,error,Unexpected: name 'split_models' is not defined
1HMT,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1HMT.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1HMT.pdbqt,,,,,,,error,Unexpected: name 'split_models' is not defined
1ICM,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1ICM.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1ICM.pdbqt,,,,,,,error,Unexpected: name 'split_models' is not defined
1ICN,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1ICN.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1ICN.pdbqt,,,,,,,error,Unexpected: name 'split_models' is not defined
1IKT,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1IKT.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1IKT.pdbqt,,,,,,,error,Unexpected: name 'split_models' is not defined
1LFO,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1LFO.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1LFO.pdbqt,,,,,,,error,Unexpected: name 'split_models' is not defined
1LID,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1LID.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1LID.pdbqt,,,,,,,error,Unexpected: name 'split_models' is not defined
1LN1,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1LN1.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1LN1.pdbqt,,,,,,,error,Unexpected: name 'split_models' is not defined
1LRI,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1LRI.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1LRI.pdbqt,,,,,,,error,Unexpected: name 'split_models' is not defined
1LV2,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1LV2.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1LV2.pdbqt,,,,,,,error,Unexpected: name 'split_models' is not defined
1MID,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1MID.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1MID.pdbqt,,,,,,,error,Unexpected: name 'split_models' is not defined
1MZM,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1MZM.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1MZM.pdbqt,,,,,,,error,Unexpected: name 'split_models' is not defined
1N83,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1N83.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1N83.pdbqt,,,,,,,error,Unexpected: name 'split_models' is not defined
1O8V,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1O8V.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1O8V.pdbqt,,,,,,,error,Unexpected: name 'split_models' is not defined
1OCU,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1OCU.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1OCU.pdbqt,,,,,,,error,Unexpected: name 'split_models' is not defined
1P6E,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1P6E.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1P6E.pdbqt,,,,,,,error,Unexpected: name 'split_models' is not defined
1PUB,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1PUB.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1PUB.pdbqt,,,,,,,error,Unexpected: name 'split_models' is not defined
1PZ4,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1PZ4.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1PZ4.pdbqt,,,,,,,error,Unexpected: name 'split_models' is not defined
1S8G,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1S8G.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1S8G.pdbqt,,,,,,,error,Unexpected: name 'split_models' is not defined
1SX6,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1SX6.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1SX6.pdbqt,,,,,,,error,Unexpected: name 'split_models' is not defined
1T27,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1T27.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1T27.pdbqt,,,,,,,error,Unexpected: name 'split_models' is not defined
1TC8,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1TC8.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1TC8.pdbqt,,,,,,,error,Unexpected: name 'split_models' is not defined
1VYF,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1VYF.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1VYF.pdbqt,,,,,,,error,Unexpected: name 'split_models' is not defined
