pdbid,ref,pred,ligand_id,pairing_method,ligand_heavy_atoms,ligand_rmsd,protein_pairs,protein_rmsd,status,error
1B56,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1B56.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1B56.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
1DSY,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1DSY.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1DSY.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
1FDQ,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1FDQ.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1FDQ.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
1FE3,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1FE3.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1FE3.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
1FK1,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1FK1.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1FK1.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
1FK4,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1FK4.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1FK4.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
1G74,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1G74.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1G74.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
1H6H,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1H6H.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1H6H.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
1HMR,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1HMR.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1HMR.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
1HMS,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1HMS.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1HMS.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
1HMT,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1HMT.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1HMT.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
1ICM,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1ICM.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1ICM.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
1ICN,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1ICN.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1ICN.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
1IKT,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1IKT.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1IKT.pdbqt,A:OXN:123,chem,25,2.7931704781484425,115,6.272789757572364e-15,ok,
1LFO,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1LFO.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1LFO.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
1LID,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1LID.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1LID.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
1LN1,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1LN1.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1LN1.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
1LRI,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1LRI.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1LRI.pdbqt,A:CLR:99,chem,28,1.2036789735758329,98,1.2090754480972207e-14,ok,
1LV2,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1LV2.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1LV2.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
1MID,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1MID.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1MID.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
1MZM,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1MZM.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1MZM.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
1N83,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1N83.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1N83.pdbqt,A:CLR:1000,chem,28,0.6253043544661157,251,5.746952564353835e-15,ok,
1O8V,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1O8V.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1O8V.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
1OCU,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1OCU.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1OCU.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
1P6E,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1P6E.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1P6E.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
1PUB,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1PUB.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1PUB.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
1PZ4,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1PZ4.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1PZ4.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
1S8G,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1S8G.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1S8G.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
1SX6,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1SX6.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1SX6.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
1T27,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1T27.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1T27.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
1TC8,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1TC8.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1TC8.pdbqt,A:TDA:122,chem,15,5.165069060525714,118,8.34532277055973e-15,ok,
1VYF,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1VYF.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1VYF.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
1YIV,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1YIV.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1YIV.pdbqt,A:LDA:2001,chem,16,4.511564605267225,131,4.568499106998974e-15,ok,
1ZHT,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1ZHT.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1ZHT.pdbqt,A:HCR:1001,chem,29,5.115782149388302,436,1.1422805637231155e-14,ok,
1ZHX,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/1ZHX.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/1ZHX.pdbqt,A:HC3:1001,chem,29,2.7638482105633897,436,1.771486571260788e-14,ok,
2A1L,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/2A1L.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/2A1L.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
2ALG,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/2ALG.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/2ALG.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
2B5S,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/2B5S.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/2B5S.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
2BV7,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/2BV7.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/2BV7.pdbqt,A:GM3:1212,chem,44,4.975732910838362,202,6.014920578904611e-15,ok,
2DT8,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/2DT8.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/2DT8.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
2E3N,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/2E3N.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/2E3N.pdbqt,A:6CM:600,chem,28,3.6433172727611858,231,1.0726303417360989e-14,ok,
2E59,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/2E59.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/2E59.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
2FTB,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/2FTB.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/2FTB.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
2HMB,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/2HMB.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/2HMB.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
2IFB,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/2IFB.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/2IFB.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
2LKK,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/2LKK.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/2LKK.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
2OVD,/home/ackson_tempel/lipid_docking_benchmark/benchmark_references/2OVD.cif,/home/ackson_tempel/lipid_docking_benchmark/model_outputs/vina/2OVD.pdbqt,,,,,,,error,All poses failed. Errors: pose 1: Prediction: no ligand with matching residue name.
